cod_ciclo,cod_ano,cod_canal,cod_agrupador_sap_material,cod_uf,des_categoria_material,des_subcategoria_material,des_marca_material,des_mecanica_consumidor,des_mecanica_rev,des_promocao_publico,vlr_desconto_real,vlr_rbv_tabela_so_tt,vlr_rbv_real_so_tt,vlr_preco_base,vlr_preco_venda
202301,2023.0,Anon2,23460.274860025,Anon3,Anon1,Anon3,Anon5,Anon10,Anon1,Anon1,26.8034797094073,17245.6156586923,17218.8121789829,40.0704225352113,40.0
202311,2023.0,Anon2,25033.5477303225,Anon1,Anon1,Anon1,Anon5,Anon3,Anon1,Anon2,208.227291657027,1849.98380454398,1641.75651288696,140.774647887324,124.929577464789
202308,2023.0,Anon2,19425.2926750266,Anon1,Anon1,Anon3,Anon5,Anon10,Anon1,Anon1,53.2136412012401,6582.29605293601,6529.08241173477,40.0704225352113,39.8145539929578
202004,2020.0,Anon1,13671.2785155708,Anon3,Anon1,Anon1,Anon1,Anon2,Anon2,Anon3,19943.7323585211,68120.7486927954,48177.0163342742,56.2676056338028,39.7863849788732
202114,2021.0,Anon1,13120.6330109666,Anon2,Anon1,Anon1,Anon1,Anon3,Anon1,Anon2,2027.50913886447,43901.6010365092,41874.0918976447,59.7887323943662,57.0985915492958
202011,2020.0,Anon1,16379.3901253991,Anon2,Anon1,Anon1,Anon2,Anon3,Anon1,Anon2,0.0,8947.41104067373,8947.41104067373,35.1408450704225,35.1408450704225
202307,2023.0,Anon1,25828.2818934802,Anon2,Anon2,Anon4,Anon8,Anon3,Anon1,Anon2,0.0,87840.6829855167,87840.6829855167,45.7042253521127,45.7042253521127
202311,2023.0,Anon1,25801.6750728796,Anon2,Anon2,Anon4,Anon8,Anon3,Anon1,Anon2,166.581833325621,6652.16787746981,6485.58604414419,42.1830985915493,41.1267605633803
202201,2021.0,Anon1,15700.3377909398,Anon3,Anon2,Anon4,Anon2,Anon2,Anon1,Anon1,1124.42737494794,5612.76664661515,4488.33927166721,42.1830985915493,33.7323943661972
202307,2023.0,Anon1,16379.3901253991,Anon3,Anon1,Anon1,Anon2,Anon3,Anon1,Anon2,0.0,476.956179723289,476.956179723289,41.4788732394366,41.4788732394366
202202,2022.0,Anon2,19422.9790384526,Anon3,Anon1,Anon3,Anon5,Anon2,Anon1,Anon1,2104.25246402295,10482.1618620147,8377.90939799176,59.0845070422535,47.227699528169
202212,2022.0,Anon1,25529.8227754384,Anon1,Anon1,Anon1,Anon5,Anon2,Anon5,Anon3,17465.8160196196,57418.5599925964,39952.7439729767,116.12676056338,80.75
202208,2022.0,Anon1,16555.2265050206,Anon3,Anon1,Anon1,Anon1,Anon3,Anon1,Anon2,144.602285872935,8813.68284669844,8669.0805608255,87.9577464788733,86.4131455633803
202217,2022.0,Anon1,23589.8385081671,Anon3,Anon1,Anon1,Anon1,Anon3,Anon1,Anon2,74.7767340706122,4831.10453010041,4756.3277960298,77.3943661971831,75.1179577464789
202116,2021.0,Anon2,21265.7905696173,Anon3,Anon1,Anon1,Anon3,Anon4,Anon3,Anon3,216.163065105733,1843.50562213687,1627.34255703114,17.5352112676056,15.8767605633803
202203,2022.0,Anon1,19411.4108555828,Anon3,Anon1,Anon1,Anon5,Anon3,Anon1,Anon2,295.48609504419,33660.6357873305,33365.1496922863,91.4788732394366,90.230046971831
201917,2019.0,Anon1,15699.1809726528,Anon3,Anon1,Anon1,Anon2,Anon3,Anon1,Anon2,0.0,3370.15871546897,3370.15871546897,17.5352112676056,17.5352112676056
202108,2021.0,Anon2,19422.9790384526,Anon2,Anon1,Anon3,Anon5,Anon3,Anon1,Anon2,0.0,34106.5892369627,34106.5892369627,56.2676056338028,56.2676056338028
202209,2022.0,Anon2,23457.961223451,Anon2,Anon1,Anon1,Anon1,Anon10,Anon1,Anon1,8.09772800888437,2211.60520105502,2203.50747304613,61.1971830985916,61.0140845070423
202004,2020.0,Anon1,15699.1809726528,Anon3,Anon1,Anon1,Anon2,Anon3,Anon1,Anon2,5.42547776595252,3197.33006339364,3191.90458562769,17.5352112676056,17.5093896690141
202304,2023.0,Anon1,25888.4364444033,Anon1,Anon2,Anon2,Anon8,Anon3,Anon1,Anon2,0.0,8133.82073943825,8133.82073943825,56.2676056338028,56.2676056338028
202311,2023.0,Anon2,25828.2818934802,Anon2,Anon2,Anon4,Anon8,Anon3,Anon1,Anon2,0.0,38085.8127805284,38085.8127805284,49.2253521126761,49.2253521126761
202304,2023.0,Anon2,15685.299153209,Anon3,Anon1,Anon1,Anon2,Anon4,Anon3,Anon3,277.636388876035,1801.86016380547,1524.22377492943,45.7042253521127,38.9225352112676
